plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
BS_G3,3,2018,2614,20,35.1552681090652
BS_P,3,2018,2614,7,0.04812731299956
BS_P3,3,2018,2614,0,1.34737511586165
BS_SIL,3,2018,2614,135,25.2182757773892
BS_SIL3,3,2018,2614,647,392.510465769972
HN_BR,3,2018,2614,40,160.626977139921
HN_G,3,2018,2614,2,2.72223038201845
HN_P,3,2018,2614,1,0.12618770993773
HN_SIL,3,2018,2614,16,31.0449752276051
KA_BR,3,2018,2614,430,512.203843285221
KA_BR_HSA,3,2018,2614,95,263.891509058545
KA_G,3,2018,2614,148,170.223274719129
KA_G_COIN,3,2018,2614,284,273.280542124204
KA_P,3,2018,2614,82,68.8467046415424
KA_SIL,3,2018,2614,540,450.821893128952
Small_BR,3,2018,2614,31,51.5795850025198
Small_G,3,2018,2614,6,11.4300580854417
Small_P,3,2018,2614,4,3.74380644198067
Small_SIL,3,2018,2614,16,33.0196681210935
BS_BR,3,2019,1993,37,37.5330133864212
BS_BR_HSA,3,2019,1993,12,21.2450492322903
BS_G,3,2019,1993,9,0.935976903484747
BS_G3,3,2019,1993,27,26.5480939439966
BS_P,3,2019,1993,6,0.0167935578544491
BS_P3,3,2019,1993,1,0.729936234775151
BS_SIL,3,2019,1993,102,11.3472056818267
BS_SIL3,3,2019,1993,467,305.400020130003
HN_BR,3,2019,1993,21,87.623972552254
HN_BR_HSA,3,2019,1993,4,47.1135284911337
HN_G,3,2019,1993,1,1.1185395209058
HN_P,3,2019,1993,1,0.0427226314085337
HN_SIL,3,2019,1993,12,20.7831217375198
KA_BR,3,2019,1993,337,441.217509235292
KA_BR_HSA,3,2019,1993,90,249.522967698857
KA_G,3,2019,1993,53,70.5598002450355
KA_G_COIN,3,2019,1993,98,128.702420605923
KA_P,3,2019,1993,62,28.2498249496891
KA_SIL,3,2019,1993,595,436.455041748347
Small_BR,3,2019,1993,41,47.7325972127518
Small_G,3,2019,1993,3,7.15278951895757
Small_P,3,2019,1993,3,2.20563069616351
Small_SIL,3,2019,1993,11,20.7634440851081
ANT_BR,4,2014,1719,86,117.231625608037
ANT_BR_HSA,4,2014,1719,13,58.6878244331267
ANT_G,4,2014,1719,12,16.8960724064388
ANT_P,4,2014,1719,9,4.3329014081744
ANT_SIL,4,2014,1719,147,183.316212843535
BS_BR,4,2014,1719,22,92.4788924640009
BS_BR_HSA,4,2014,1719,6,50.6580401646949
BS_G,4,2014,1719,44,22.4699372791409
BS_P,4,2014,1719,29,6.53665291000012
BS_SIL,4,2014,1719,289,204.277366307784
HN_BR,4,2014,1719,27,83.8551295721899
HN_G,4,2014,1719,3,5.05046226241297
HN_P,4,2014,1719,3,0.833910503540271
